from,to,edge_type,length,time_length
1,2,tree,0.12776895992409157,0.12776895992409157
2,3,tree,3.3014687489432095,3.3014687489432095
2,4,tree,2.0491618948564736,2.0491618948564736
3,11,tree,0.1783299752764318,0.1783299752764318
3,12,tree,0.11755670515817185,0.11755670515817185
4,5,tree,0.25695681106812485,0.25695681106812485
4,6,tree,0.07405418643700967,0.07405418643700967
6,7,tree,1.295809372807898,1.295809372807898
6,8,tree,0.5877463313233928,0.5877463313233928
7,13,tree,0.41356252254128956,0.41356252254128956
7,15,tree,3.0992839842924775,0.0
8,9,tree,0.6290996995552343,0.6290996995552343
8,10,tree,0.5562955566409129,0.5562955566409129
11,18,tree,0.39243231585626726,0.39243231585626726
11,19,reticulation,3.549976933343065,0.0
12,14,tree,0.4532055859745272,0.4532055859745272
12,15,reticulation,3.738766923910286,0.0
13,22,tree,0.039643063433237646,0.039643063433237646
13,23,tree,0.361431061700502,0.0
15,16,tree,0.06077327011825995,0.06077327011825995
16,17,tree,0.39243231585626726,0.39243231585626726
16,19,tree,0.5454499411200844,0.0
19,20,tree,0.3527892524230296,0.3527892524230296
20,21,tree,0.039643063433237646,0.039643063433237646
20,23,reticulation,4.110427908794639,0.0
23,24,tree,0.039643063433237646,0.039643063433237646
