from,to,edge_type,length,time_length
1,2,tree,0.22729938421345142,0.22729938421345142
2,3,tree,0.9388266843097,0.9388266843097
2,4,tree,1.098179236417882,1.098179236417882
3,5,tree,0.159352552108182,0.159352552108182
3,6,tree,0.900183013597752,0.900183013597752
4,5,reticulation,0.8819637755369422,0.0
5,7,tree,0.8770629579886693,0.8770629579886693
6,8,tree,0.1362324964990993,0.1362324964990993
6,9,tree,0.06072765894440346,0.06072765894440346
7,14,tree,0.032673351083658986,0.032673351083658986
8,7,reticulation,0.567757565777832,0.0
9,10,tree,0.04776488640498622,0.04776488640498622
9,11,tree,0.04776488640498622,0.04776488640498622
10,13,tree,0.44950765674497184,0.44950765674497184
10,11,reticulation,0.05874605892840584,0.0
11,12,tree,0.060413302233368604,0.060413302233368604
12,16,tree,0.14215170564430846,0.14215170564430846
12,14,reticulation,0.5898581238573563,0.0
13,20,tree,0.5236467486400884,0.5236467486400884
13,21,reticulation,0.8498916954019871,0.0
14,15,tree,0.38909435451160324,0.38909435451160324
15,19,tree,0.8004761253416768,0.8004761253416768
15,21,tree,0.6977278008737189,0.0
16,17,tree,1.019819189406919,1.019819189406919
16,18,tree,1.1115112613282898,1.1115112613282898
17,27,tree,0.41380577489832504,0.41380577489832504
17,28,tree,0.02759958480205249,0.02759958480205249
18,31,reticulation,0.531319668844586,0.0
19,29,tree,0.5752145904430583,0.5752145904430583
20,23,tree,0.22849621089759253,0.22849621089759253
20,24,tree,0.22849621089759253,0.22849621089759253
21,22,tree,0.8388640970496493,0.8388640970496493
22,30,tree,0.5368266187350859,0.5368266187350859
23,26,tree,0.0867211375119683,0.0867211375119683
23,24,reticulation,0.2836525920892591,0.0
24,25,tree,0.22103845089647312,0.22103845089647312
25,33,tree,0.0981322700032421,0.0981322700032421
25,34,tree,0.16712937070833656,0.16712937070833656
26,31,tree,0.025704515411345774,0.025704515411345774
26,22,reticulation,2.444595992490081,0.0
27,37,tree,0.1890084003467858,0.1890084003467858
27,38,tree,0.1890084003467858,0.1890084003467858
28,19,reticulation,0.23794860142330912,0.0
31,32,tree,0.20674506797640113,0.20674506797640113
32,36,tree,0.30437703534733895,0.30437703534733895
32,33,reticulation,0.5138322251707594,0.0
33,35,tree,0.30437703534733895,0.30437703534733895
