from,to,edge_type,length,time_length
1,2,tree,0.0883605560413799,0.0883605560413799
2,3,tree,1.6109251525762585,1.6109251525762585
2,4,tree,0.7022913497946102,0.7022913497946102
3,8,tree,0.5474583846844181,0.5474583846844181
4,5,tree,0.15371454355831227,0.15371454355831227
4,6,tree,0.15371454355831227,0.15371454355831227
5,7,tree,0.7549192592233359,0.7549192592233359
6,5,reticulation,0.007665079335002389,0.0
7,3,reticulation,1.4280436083979888,0.0
8,9,tree,0.12181057773298276,0.12181057773298276
8,10,tree,0.12181057773298276,0.12181057773298276
9,12,tree,1.0115363587564814,1.0115363587564814
9,10,reticulation,0.19501704730433964,0.0
10,11,tree,0.44393074469557847,0.44393074469557847
12,13,tree,0.3716912414552267,0.3716912414552267
12,14,tree,0.09862632515922343,0.09862632515922343
13,17,tree,0.026731356820727914,0.026731356820727914
13,18,tree,0.026731356820727914,0.026731356820727914
14,15,tree,0.521282645049256,0.521282645049256
14,16,tree,0.35422013131921304,0.35422013131921304
16,21,tree,0.015510741173021092,0.015510741173021092
16,22,tree,0.167062513730043,0.167062513730043
17,20,tree,0.22148637193252485,0.22148637193252485
17,18,reticulation,0.036228802336349966,0.0
18,19,tree,0.22148637193252485,0.22148637193252485
