from,to,edge_type,length,time_length
1,2,tree,2.5217197584779254,2.5217197584779254
2,3,tree,0.49070363338631884,0.49070363338631884
2,4,tree,0.49070363338631884,0.49070363338631884
3,4,reticulation,0.19642350621965451,0.0
4,5,tree,0.03787598246256696,0.03787598246256696
5,6,tree,0.45887515039988,0.45887515039988
5,7,tree,0.5333994195206642,0.5333994195206642
6,8,tree,0.4306249496515093,0.4306249496515093
6,9,tree,0.07452426912078414,0.07452426912078414
7,11,tree,0.41630120615252464,0.41630120615252464
7,9,reticulation,0.9256867305800403,0.0
8,12,tree,0.06020052562179945,0.06020052562179945
8,13,tree,0.06020052562179945,0.06020052562179945
9,10,tree,0.41630120615252464,0.41630120615252464
