from,to,edge_type,length,time_length
1,2,tree,2.456483277868941,2.456483277868941
2,3,tree,0.4351051992807453,0.4351051992807453
2,4,tree,1.0330133641209853,1.0330133641209853
3,5,tree,0.3627010753061888,0.3627010753061888
3,6,tree,0.17534375106034616,0.17534375106034616
4,10,tree,0.014834125657440023,0.014834125657440023
4,11,tree,0.014834125657440023,0.014834125657440023
5,8,reticulation,0.10107133667397265,0.0
6,7,tree,0.4513340342962677,0.4513340342962677
6,8,tree,0.18735732424584262,0.18735732424584262
7,17,tree,0.48173373749369963,0.48173373749369963
7,13,reticulation,1.2390796181128216,0.0
8,9,tree,0.7457104475441247,0.7457104475441247
10,12,tree,0.06294458477555498,0.06294458477555498
10,14,reticulation,0.01852349280949609,0.0
11,13,tree,0.013935494858933861,0.013935494858933861
11,14,tree,0.011144758505383955,0.0
13,16,tree,0.48173373749369963,0.48173373749369963
14,15,tree,0.4956692323526335,0.4956692323526335
