from,to,edge_type,length,time_length
1,2,tree,0.38264804693472226,0.38264804693472226
2,3,tree,0.021902554033924826,0.021902554033924826
2,4,tree,0.021902554033924826,0.021902554033924826
3,6,tree,0.721256448495806,0.721256448495806
3,7,tree,0.018071639449528245,0.0
4,5,tree,0.37938499450311153,0.37938499450311153
4,7,reticulation,0.025733468618321407,0.0
6,9,tree,1.4984509251837177,1.4984509251837177
6,10,tree,0.5495133872764753,0.5495133872764753
7,8,tree,1.1605555408922825,1.1605555408922825
8,11,tree,0.014538123457978669,0.014538123457978669
8,12,tree,1.4405710024396792,1.4405710024396792
9,13,tree,0.7782923081560993,0.7782923081560993
9,14,tree,0.5300012124647173,0.5300012124647173
12,15,tree,0.28788388316576086,0.28788388316576086
12,16,tree,0.28788388316576086,0.28788388316576086
14,17,tree,0.845740812887112,0.845740812887112
14,18,tree,0.23459004656254256,0.23459004656254256
15,19,tree,0.09528820620906098,0.09528820620906098
15,21,reticulation,0.46056589772797607,0.0
16,20,tree,0.3923140839167636,0.3923140839167636
16,21,tree,0.11520186860354564,0.0
18,24,tree,0.49714174592892313,0.49714174592892313
18,19,reticulation,5.763062741680118,0.0
19,23,tree,0.3180213984500284,0.3180213984500284
20,25,tree,0.3141248886168668,0.3141248886168668
20,26,tree,0.1632445954694397,0.1632445954694397
21,22,tree,0.5555586793862033,0.5555586793862033
22,29,tree,0.15088029314742712,0.15088029314742712
23,27,tree,0.293129367874541,0.293129367874541
23,28,tree,0.17912034747889471,0.17912034747889471
24,28,reticulation,1.1443261322279377,0.0
26,22,reticulation,0.10960350292441033,0.0
28,30,tree,0.11400902039564631,0.11400902039564631
