from,to,edge_type,length,time_length
1,2,tree,1.3367375701400237,1.3367375701400237
2,3,tree,0.3116248966353725,0.3116248966353725
2,4,tree,0.3116248966353725,0.3116248966353725
3,6,tree,0.27324973642901096,0.27324973642901096
3,7,tree,0.007930149774064556,0.0
4,5,tree,0.6004816880817252,0.6004816880817252
4,7,reticulation,0.6153196434966804,0.0
5,11,tree,0.0017207858545345012,0.0017207858545345012
5,13,tree,0.06717093586473825,0.0
6,9,tree,0.32723195165271424,0.32723195165271424
6,10,tree,0.8095620868456699,0.8095620868456699
7,8,tree,0.712182116753564,0.712182116753564
8,18,tree,0.14812256281828295,0.14812256281828295
8,19,reticulation,1.2689882037289537,0.0
9,12,tree,0.0017207858545345012,0.0017207858545345012
9,13,reticulation,1.757042233569457,0.0
10,25,tree,0.4367092629754441,0.4367092629754441
10,26,tree,0.05185445056869153,0.0
11,15,tree,0.10997964281730432,0.10997964281730432
12,16,tree,0.1306526322715995,0.1306526322715995
12,11,reticulation,1.3705779367030928,0.0
13,14,tree,0.2598229914901218,0.2598229914901218
14,18,reticulation,1.1971407293941332,0.0
15,17,tree,0.5120118516350414,0.5120118516350414
15,19,tree,0.7706956732748546,0.0
16,21,tree,0.34995671706682163,0.34995671706682163
17,28,tree,0.0019867361518430826,0.0019867361518430826
17,29,tree,0.0019867361518430826,0.0019867361518430826
18,23,tree,0.7612748533892653,0.7612748533892653
19,20,tree,0.020672989454295188,0.020672989454295188
20,22,tree,0.5011241382915403,0.5011241382915403
20,16,reticulation,1.9046981027977068,0.0
21,24,tree,0.1511674212247187,0.1511674212247187
21,26,reticulation,1.5672697231226482,0.0
22,34,tree,0.0734965778318104,0.0734965778318104
24,22,reticulation,1.1920872954460227,0.0
25,46,tree,0.10602792995288324,0.10602792995288324
25,47,reticulation,3.212828456118203,0.0
26,27,tree,0.4929098219547674,0.4929098219547674
27,50,tree,0.08706168930942848,0.08706168930942848
27,41,reticulation,2.623469233719213,0.0
28,31,tree,0.04693592518537493,0.04693592518537493
28,32,tree,0.0011758308455581223,0.0
29,30,tree,0.08129511779076148,0.08129511779076148
29,32,reticulation,0.002797641458128043,0.0
30,37,tree,0.38630502237368747,0.38630502237368747
30,39,reticulation,1.8622787374972964,0.0
31,36,tree,0.17327742468209273,0.17327742468209273
31,33,reticulation,0.04885350911419468,0.0
32,33,tree,0.04693592518537493,0.04693592518537493
33,35,tree,0.3524323864771848,0.3524323864771848
34,38,tree,0.21204526391891498,0.21204526391891498
34,39,tree,0.09900434693284983,0.0
35,53,tree,0.0430367285655513,0.0430367285655513
36,41,tree,0.1293275908215321,0.1293275908215321
37,57,tree,0.29164798467082287,0.29164798467082287
38,45,tree,0.17425975845477248,0.17425975845477248
38,47,tree,0.471801538970048,0.0
39,40,tree,0.13891823207670617,0.13891823207670617
40,42,tree,0.036089962375923434,0.036089962375923434
40,36,reticulation,1.2476001440072964,0.0
41,49,tree,0.5463199412920998,0.5463199412920998
42,43,tree,0.1326026269118139,0.1326026269118139
42,44,tree,0.18029931775503716,0.18029931775503716
43,51,tree,0.4218877170228672,0.4218877170228672
43,52,tree,0.7365508895289503,0.7365508895289503
44,54,tree,0.6591300861726275,0.6591300861726275
45,37,reticulation,0.23106046659686014,0.0
46,35,reticulation,0.9109348122931692,0.0
47,48,tree,0.005244212844474294,0.005244212844474294
50,44,reticulation,0.8633071410372386,0.0
51,60,tree,0.16751142022496301,0.16751142022496301
51,62,tree,0.6623685790093715,0.0
53,55,tree,0.4747942507243179,0.4747942507243179
53,56,tree,0.3168430846071608,0.3168430846071608
54,78,tree,0.029724112513099588,0.029724112513099588
55,66,tree,0.1167687883407571,0.1167687883407571
55,67,tree,0.14968581241318546,0.14968581241318546
56,59,tree,0.05154553134280038,0.05154553134280038
56,57,reticulation,1.1620912517026838,0.0
57,58,tree,0.30763697853034255,0.30763697853034255
58,74,tree,0.058571725318540935,0.058571725318540935
58,75,reticulation,1.3702980342233975,0.0
59,61,tree,0.06181281912486458,0.06181281912486458
59,62,reticulation,3.82099848696523,0.0
60,70,tree,0.1471517522811201,0.1471517522811201
61,64,tree,0.08874350579103929,0.08874350579103929
62,63,tree,0.06181281912486458,0.06181281912486458
63,65,tree,0.25285035338121853,0.25285035338121853
63,61,reticulation,3.8244229363947886,0.0
64,68,tree,0.016955095309059143,0.016955095309059143
64,69,tree,0.11724607596503134,0.11724607596503134
66,71,tree,0.09148874939096929,0.09148874939096929
66,72,tree,0.09148874939096929,0.09148874939096929
67,73,tree,0.011710953693393034,0.011710953693393034
67,75,tree,1.040753343754293,0.0
68,60,reticulation,2.2837719817376168,0.0
69,73,reticulation,0.31091056488179336,0.0
73,77,tree,0.0468607716251479,0.0468607716251479
75,76,tree,0.028847612805441347,0.028847612805441347
76,54,reticulation,1.1855776920879761,0.0
