from,to,edge_type,length,time_length
1,2,tree,0.22121423639350926,0.22121423639350926
2,3,tree,2.7114146691269982,2.7114146691269982
2,4,tree,1.6388983913301416,1.6388983913301416
3,9,tree,0.03820232658404965,0.03820232658404965
4,5,tree,0.790843028781766,0.790843028781766
4,6,tree,1.2216531750722797,1.2216531750722797
5,7,tree,0.28167324901509083,0.28167324901509083
5,8,tree,0.4308101462905136,0.4308101462905136
6,15,tree,0.2142913753166189,0.2142913753166189
7,10,tree,0.03820232658404965,0.03820232658404965
7,3,reticulation,4.335753410573776,0.0
8,16,tree,0.12230452954744697,0.12230452954744697
8,6,reticulation,1.7439892045697902,0.0
9,11,tree,0.32522594600799204,0.32522594600799204
9,13,reticulation,4.005648868318324,0.0
10,12,tree,0.44785900302565107,0.44785900302565107
10,13,tree,0.4065091954235521,0.0
11,15,reticulation,2.811333141124706,0.0
12,19,tree,0.02777348529933832,0.02777348529933832
12,20,tree,0.31554941376157375,0.31554941376157375
13,14,tree,0.2332391002388201,0.2332391002388201
14,17,tree,0.24239338808616928,0.24239338808616928
15,18,tree,0.4381824707792328,0.4381824707792328
16,14,reticulation,0.6391528046790479,0.0
17,21,tree,0.5535362795704533,0.5535362795704533
18,24,tree,0.006316211084784751,0.006316211084784751
18,20,reticulation,6.575951520857213,0.0
19,22,tree,0.2940921395470202,0.2940921395470202
19,17,reticulation,0.7243196924915918,0.0
20,23,tree,0.26576035110821783,0.26576035110821783
22,24,reticulation,0.8897130090108891,0.0
24,25,tree,0.2594441400234331,0.2594441400234331
