from,to,edge_type,length,time_length
1,2,tree,1.5945941817868103,1.5945941817868103
2,3,tree,0.014531419849503013,0.014531419849503013
2,4,tree,0.014531419849503013,0.014531419849503013
3,6,tree,0.1468029384565248,0.1468029384565248
3,7,reticulation,0.02905593658939536,0.0
4,5,tree,0.14856788417363775,0.14856788417363775
4,7,tree,6.903109610668228e-06,0.0
5,11,tree,0.263425778542254,0.263425778542254
6,9,tree,1.4019132117400164,1.4019132117400164
6,10,tree,0.6884011292860592,0.6884011292860592
7,8,tree,0.14856788417363775,0.14856788417363775
8,5,reticulation,0.011171605628667034,0.0
9,26,reticulation,0.7218071441911735,0.0
10,14,tree,0.16055962816513114,0.16055962816513114
10,15,tree,0.116632791948593,0.116632791948593
11,12,tree,0.01781107897406642,0.01781107897406642
11,13,tree,0.5853948622757827,0.5853948622757827
13,20,tree,0.7288030596400255,0.7288030596400255
13,21,tree,0.028276668924759107,0.028276668924759107
14,18,tree,0.3378479524698723,0.3378479524698723
14,19,tree,0.009511617613016998,0.009511617613016998
15,16,tree,0.053438453829555144,0.053438453829555144
15,17,tree,0.399605009966681,0.399605009966681
16,23,tree,0.020389880395701443,0.020389880395701443
16,19,reticulation,0.3253176183314159,0.0
17,22,reticulation,0.05279135160092667,0.0
18,27,tree,0.9775897490452863,0.9775897490452863
18,25,reticulation,1.3469893545871552,0.0
19,22,tree,0.3461665561371259,0.3461665561371259
20,32,tree,0.45872188848094453,0.45872188848094453
20,33,tree,0.2608878255548155,0.2608878255548155
21,25,tree,0.3079464544611539,0.3079464544611539
21,23,reticulation,1.2498970190900196,0.0
22,28,tree,0.0033714904462507356,0.0033714904462507356
23,24,tree,0.3291481661876752,0.3291481661876752
24,29,tree,0.6322660500824067,0.6322660500824067
25,26,tree,0.2151045018189537,0.2151045018189537
26,31,tree,0.3299000292987908,0.3299000292987908
27,42,tree,0.07967300094081287,0.07967300094081287
27,43,tree,0.07967300094081287,0.07967300094081287
28,30,tree,0.5238028193912232,0.5238028193912232
28,24,reticulation,0.9651400373704034,0.0
29,36,tree,0.4037949881771712,0.4037949881771712
29,37,reticulation,2.3715822054630875,0.0
30,34,tree,0.5122582188683547,0.5122582188683547
31,30,reticulation,1.8154950560626641,0.0
32,35,reticulation,0.1747582918549341,0.0
33,35,tree,0.19783406292612904,0.19783406292612904
33,37,tree,0.8576965840166139,0.0
35,39,tree,0.20596092525104215,0.20596092525104215
37,38,tree,0.29788591062236636,0.29788591062236636
38,40,tree,0.10590907755480483,0.10590907755480483
38,41,tree,0.10590907755480483,0.10590907755480483
