from,to,edge_type,length,time_length
1,2,tree,0.2088017397436717,0.2088017397436717
2,3,tree,0.18840078153105463,0.18840078153105463
2,4,tree,0.4248469924698468,0.4248469924698468
3,5,tree,0.9813804992034336,0.9813804992034336
3,6,tree,0.20851205417048702,0.20851205417048702
4,10,tree,0.9516304297864884,0.9516304297864884
4,11,tree,0.22756115275742314,0.0
5,16,tree,0.5364985180467754,0.5364985180467754
5,17,tree,0.08326146116983013,0.08326146116983013
6,7,tree,0.02793415676830513,0.02793415676830513
6,8,tree,0.3747270612136867,0.3747270612136867
7,9,tree,0.3467929044453816,0.3467929044453816
7,11,reticulation,0.6221328321822704,0.0
8,15,tree,0.962315539821008,0.962315539821008
9,8,reticulation,0.3162966646432671,0.0
10,20,tree,0.268645355101635,0.268645355101635
11,12,tree,0.1253325836551742,0.1253325836551742
12,13,tree,1.1561002226562427,1.1561002226562427
12,14,tree,1.139921004464456,1.139921004464456
13,16,reticulation,1.8068330761956626,0.0
14,23,tree,0.090397048436764,0.090397048436764
14,24,tree,0.2339287342316616,0.2339287342316616
15,27,tree,0.6772556776441394,0.6772556776441394
15,18,reticulation,2.8588502137232235,0.0
16,25,tree,0.19215823080069172,0.19215823080069172
17,18,tree,0.480912694831918,0.480912694831918
17,19,tree,0.12343468035201677,0.12343468035201677
18,26,tree,0.15582937351178638,0.15582937351178638
19,10,reticulation,0.7666074590120325,0.0
20,21,tree,0.1353748516682709,0.1353748516682709
20,22,tree,0.2533152522239852,0.2533152522239852
21,29,tree,0.10928718122178172,0.10928718122178172
21,23,reticulation,2.2147207487257776,0.0
22,31,tree,0.15234011138336845,0.15234011138336845
23,28,tree,0.1435316857948976,0.1435316857948976
24,32,tree,0.12674882614418514,0.12674882614418514
25,22,reticulation,0.11066819169911134,0.0
26,29,reticulation,0.83596697269574,0.0
27,34,reticulation,0.8398070646100076,0.0
28,33,tree,1.4987425744779181,1.4987425744779181
28,24,reticulation,0.3551205891667243,0.0
29,30,tree,1.3139785452606092,1.3139785452606092
30,41,tree,0.19450007092028487,0.19450007092028487
31,35,tree,0.8180006149197796,0.8180006149197796
31,32,reticulation,2.497445477838999,0.0
32,34,tree,0.360432973415052,0.360432973415052
33,46,tree,0.3684263709572715,0.3684263709572715
34,36,tree,0.6217091291595431,0.6217091291595431
35,37,tree,0.1641414876548155,0.1641414876548155
35,38,tree,0.5455443914777689,0.5455443914777689
36,40,tree,0.17084311196871305,0.17084311196871305
36,37,reticulation,2.579938704892514,0.0
37,39,tree,0.7582780167164094,0.7582780167164094
38,44,tree,0.0084487419361845,0.0084487419361845
40,30,reticulation,3.569438636445592,0.0
41,42,tree,0.39293483382741146,0.39293483382741146
41,43,tree,0.016059720933955468,0.016059720933955468
43,45,tree,0.376875112893456,0.376875112893456
43,38,reticulation,4.779612962635432,0.0
44,33,reticulation,1.864718467368546,0.0
