from,to,edge_type,length,time_length
1,2,tree,0.5293931808841402,0.5293931808841402
2,3,tree,0.00030618378730240536,0.00030618378730240536
2,4,tree,0.00030618378730240536,0.00030618378730240536
3,5,tree,0.9004555348644522,0.9004555348644522
4,3,reticulation,4.2572593117213055e-06,0.0
5,6,tree,0.29061233667381825,0.29061233667381825
5,7,tree,0.07510611267390987,0.07510611267390987
6,17,tree,0.03423256901775962,0.03423256901775962
6,10,reticulation,0.41926847319223814,0.0
7,8,tree,0.05584021504934178,0.05584021504934178
7,9,tree,0.06826493960485824,0.06826493960485824
8,10,tree,0.1596660089505666,0.1596660089505666
8,11,tree,0.012424724555516464,0.012424724555516464
9,13,tree,0.029679775522226004,0.029679775522226004
9,11,reticulation,0.09506633826402577,0.0
10,16,tree,0.392878137801556,0.392878137801556
11,12,tree,0.18147385341280975,0.18147385341280975
12,19,tree,0.1004644153420986,0.1004644153420986
12,20,tree,0.011581025280941928,0.0
13,14,tree,0.25225849323268235,0.25225849323268235
13,15,tree,0.3773214616991538,0.3773214616991538
14,22,tree,0.19247886266044323,0.19247886266044323
15,24,tree,0.018597487081761788,0.018597487081761788
15,25,tree,0.18128988515502362,0.0
16,32,tree,0.20212187954147343,0.20212187954147343
17,18,tree,0.22552738380857007,0.22552738380857007
17,20,reticulation,0.7954846038479486,0.0
18,23,tree,0.018597487081761788,0.018597487081761788
18,25,reticulation,0.9194546938452722,0.0
19,14,reticulation,0.1790899008340167,0.0
20,21,tree,0.3586455687837964,0.3586455687837964
21,33,tree,0.20212187954147343,0.20212187954147343
21,16,reticulation,1.7735045121241322,0.0
22,27,reticulation,0.052903052176096574,0.0
23,28,tree,1.247514079897233,1.247514079897233
23,29,tree,0.3669122660092841,0.0
24,27,tree,0.04881840711220997,0.04881840711220997
24,29,reticulation,0.7710272871545353,0.0
25,26,tree,0.322157257692433,0.322157257692433
26,34,tree,0.5820317002773949,0.5820317002773949
26,35,tree,0.6825481824953608,0.6825481824953608
27,31,tree,0.38884136315222406,0.38884136315222406
28,59,tree,0.1393648896202997,0.1393648896202997
28,61,reticulation,4.113943193009307,0.0
29,30,tree,0.5257186430349865,0.5257186430349865
30,41,tree,0.007918173531178851,0.007918173531178851
31,39,reticulation,1.1046262289755493,0.0
32,36,tree,0.20907606560004854,0.20907606560004854
32,38,tree,0.5266934083959303,0.0
33,37,tree,0.5847431111201731,0.5847431111201731
33,38,reticulation,1.651054862811149,0.0
34,43,tree,0.01579421766704492,0.01579421766704492
34,44,tree,0.3099624143784081,0.3099624143784081
35,49,tree,0.10170271769184369,0.10170271769184369
36,30,reticulation,0.8135400511098703,0.0
37,45,tree,0.31658842585192515,0.31658842585192515
37,47,reticulation,2.6117309987137367,0.0
38,39,tree,0.12101719282949608,0.12101719282949608
39,40,tree,0.09597704630173132,0.09597704630173132
40,41,reticulation,0.7439549950471674,0.0
41,42,tree,0.5392961838241348,0.5392961838241348
42,51,tree,0.14504111401673603,0.14504111401673603
